              Word  Count
0          defense      1
1         airborne      1
2              the      5
3          command      1
4               to      1
5             duty      1
6         squadron      1
7        commander      1
8         relieved      1
9         provides      1
10             and      1
11            been      1
12             air      1
13  reconnaissance      1
14             has      1
15         ability      1
16         weapons      1
17            that      1
18       secretary      1
19            navy      1
20          nation      1
21              of      2
22       president      1
23         nuclear      1
              Word  Count
0              the      5
1              air      1
2             that      1
3               to      1
4          nuclear      1
5          weapons      1
6             duty      1
7        commander      1
8          defense      1
9             navy      1
10        airborne      1
11         command      1
12       secretary      1
13             has      1
14            been      1
15       president      1
16              of      2
17  reconnaissance      1
18        squadron      1
19        provides      1
20         ability      1
21             and      1
22          nation      1
23        relieved      1
              Word  Count
0   reconnaissance      1
1              the      5
2             navy      1
3              has      1
4             been      1
5           nation      1
6               to      1
7         airborne      1
8          nuclear      1
9         relieved      1
10            duty      1
11       president      1
12         weapons      1
13             and      1
14       secretary      1
15         ability      1
16         defense      1
17        provides      1
18       commander      1
19            that      1
20             air      1
21        squadron      1
22              of      2
23         command      1
              Word  Count
0             duty      1
1           nation      1
2          ability      1
3          weapons      1
4        secretary      1
5          command      1
6              and      1
7             navy      1
8              has      1
9        commander      1
10              of      2
11         nuclear      1
12       president      1
13        squadron      1
14            that      1
15        airborne      1
16            been      1
17              to      1
18        relieved      1
19  reconnaissance      1
20             the      5
21             air      1
22        provides      1
23         defense      1
              Word  Count
0        president      1
1          nuclear      1
2             duty      1
3          defense      1
4        secretary      1
5              has      1
6          ability      1
7           nation      1
8              air      1
9          weapons      1
10            been      1
11       commander      1
12              to      1
13         command      1
14             the      5
15            navy      1
16        relieved      1
17              of      2
18             and      1
19        provides      1
20  reconnaissance      1
21            that      1
22        squadron      1
23        airborne      1
              Word  Count
0             been      1
1               of      2
2             duty      1
3              air      1
4          defense      1
5             that      1
6         provides      1
7         airborne      1
8         relieved      1
9              has      1
10       secretary      1
11              to      1
12         command      1
13        squadron      1
14  reconnaissance      1
15             the      5
16         nuclear      1
17            navy      1
18             and      1
19          nation      1
20       commander      1
21         ability      1
22       president      1
23         weapons      1
              Word  Count
0               to      1
1              and      1
2             that      1
3           nation      1
4         provides      1
5   reconnaissance      1
6          defense      1
7          nuclear      1
8         relieved      1
9          ability      1
10         weapons      1
11             air      1
12            duty      1
13       secretary      1
14            navy      1
15            been      1
16       president      1
17              of      2
18        squadron      1
19        airborne      1
20         command      1
21             the      5
22             has      1
23       commander      1
              Word  Count
0              and      1
1         provides      1
2        president      1
3               of      2
4             that      1
5             navy      1
6          defense      1
7         airborne      1
8              air      1
9               to      1
10       secretary      1
11            been      1
12        relieved      1
13        squadron      1
14             the      5
15         nuclear      1
16  reconnaissance      1
17             has      1
18         command      1
19            duty      1
20          nation      1
21         ability      1
22         weapons      1
23       commander      1
              Word  Count
0         provides      1
1          ability      1
2          nuclear      1
3         squadron      1
4              air      1
5              and      1
6               to      1
7        secretary      1
8        commander      1
9   reconnaissance      1
10             has      1
11            been      1
12            duty      1
13         defense      1
14          nation      1
15         weapons      1
16         command      1
17            that      1
18       president      1
19            navy      1
20             the      5
21              of      2
22        relieved      1
23        airborne      1
              Word  Count
0   reconnaissance      1
1        commander      1
2          nuclear      1
3          defense      1
4           nation      1
5             duty      1
6          command      1
7             that      1
8              air      1
9         airborne      1
10        provides      1
11              to      1
12        squadron      1
13             and      1
14       president      1
15         weapons      1
16        relieved      1
17         ability      1
18             has      1
19              of      2
20       secretary      1
21            navy      1
22            been      1
23             the      5
              Word  Count
0               of      2
1              the      5
2          command      1
3          ability      1
4          defense      1
5         provides      1
6             been      1
7   reconnaissance      1
8             that      1
9          nuclear      1
10        airborne      1
11            navy      1
12       commander      1
13             has      1
14          nation      1
15         weapons      1
16       secretary      1
17        squadron      1
18            duty      1
19             and      1
20             air      1
21        relieved      1
22              to      1
23       president      1
              Word  Count
0             duty      1
1        president      1
2   reconnaissance      1
3         squadron      1
4          command      1
5           nation      1
6              the      5
7              and      1
8         relieved      1
9          nuclear      1
10       secretary      1
11            that      1
12             has      1
13        provides      1
14              to      1
15            been      1
16            navy      1
17             air      1
18       commander      1
19              of      2
20        airborne      1
21         weapons      1
22         defense      1
23         ability      1
              Word  Count
0        secretary      1
1             that      1
2              air      1
3          command      1
4         squadron      1
5   reconnaissance      1
6          nuclear      1
7             been      1
8        president      1
9          defense      1
10            duty      1
11        provides      1
12          nation      1
13            navy      1
14              of      2
15             and      1
16         weapons      1
17        airborne      1
18       commander      1
19        relieved      1
20             the      5
21         ability      1
22              to      1
23             has      1
              Word  Count
0              has      1
1             been      1
2               of      2
3          defense      1
4         provides      1
5   reconnaissance      1
6             duty      1
7         airborne      1
8              the      5
9         relieved      1
10            navy      1
11        squadron      1
12       president      1
13         command      1
14          nation      1
15         nuclear      1
16         ability      1
17            that      1
18       commander      1
19             air      1
20       secretary      1
21             and      1
22              to      1
23         weapons      1
              Word  Count
0              has      1
1        president      1
2          weapons      1
3             navy      1
4         provides      1
5         airborne      1
6         squadron      1
7             been      1
8          nuclear      1
9           nation      1
10         ability      1
11             air      1
12       secretary      1
13             and      1
14        relieved      1
15             the      5
16       commander      1
17              to      1
18  reconnaissance      1
19         command      1
20              of      2
21            duty      1
22         defense      1
23            that      1
              Word  Count
0              has      1
1             been      1
2        secretary      1
3   reconnaissance      1
4          ability      1
5         airborne      1
6             that      1
7           nation      1
8          defense      1
9         squadron      1
10       president      1
11        provides      1
12             the      5
13            navy      1
14            duty      1
15         nuclear      1
16         weapons      1
17       commander      1
18             air      1
19              to      1
20             and      1
21              of      2
22        relieved      1
23         command      1
              Word  Count
0          weapons      1
1              the      5
2   reconnaissance      1
3          nuclear      1
4             been      1
5        president      1
6         relieved      1
7          command      1
8        secretary      1
9              air      1
10          nation      1
11              to      1
12         defense      1
13              of      2
14        provides      1
15       commander      1
16             and      1
17            that      1
18         ability      1
19            navy      1
20        airborne      1
21            duty      1
22             has      1
23        squadron      1
              Word  Count
0             been      1
1   reconnaissance      1
2          weapons      1
3             duty      1
4         relieved      1
5          defense      1
6        president      1
7              air      1
8             that      1
9          command      1
10        provides      1
11             the      5
12             and      1
13          nation      1
14            navy      1
15              of      2
16         ability      1
17              to      1
18         nuclear      1
19       secretary      1
20       commander      1
21        squadron      1
22             has      1
23        airborne      1
              Word  Count
0        commander      1
1          defense      1
2             duty      1
3         airborne      1
4              the      5
5              and      1
6          weapons      1
7          nuclear      1
8              air      1
9             navy      1
10       president      1
11        squadron      1
12  reconnaissance      1
13              to      1
14         ability      1
15       secretary      1
16            been      1
17        provides      1
18            that      1
19             has      1
20         command      1
21          nation      1
22        relieved      1
23              of      2
              Word  Count
0              air      1
1              and      1
2             that      1
3        commander      1
4          ability      1
5         airborne      1
6             been      1
7        president      1
8          defense      1
9        secretary      1
10        provides      1
11            duty      1
12              to      1
13         nuclear      1
14        squadron      1
15             has      1
16             the      5
17         command      1
18            navy      1
19         weapons      1
20              of      2
21          nation      1
22  reconnaissance      1
23        relieved      1
              Word  Count
0   reconnaissance      1
1          ability      1
2           nation      1
3          defense      1
4        president      1
5         provides      1
6              air      1
7             duty      1
8              and      1
9         airborne      1
10         nuclear      1
11              to      1
12            been      1
13             the      5
14        relieved      1
15        squadron      1
16            navy      1
17       commander      1
18              of      2
19            that      1
20             has      1
21       secretary      1
22         weapons      1
23         command      1
              Word  Count
0             that      1
1        president      1
2          weapons      1
3        commander      1
4          defense      1
5         squadron      1
6               of      2
7        secretary      1
8             duty      1
9             been      1
10         command      1
11          nation      1
12             air      1
13              to      1
14         nuclear      1
15        relieved      1
16            navy      1
17        airborne      1
18             has      1
19             the      5
20        provides      1
21             and      1
22  reconnaissance      1
23         ability      1
              Word  Count
0              has      1
1             duty      1
2              air      1
3              the      5
4          nuclear      1
5          command      1
6        secretary      1
7           nation      1
8          weapons      1
9               to      1
10            that      1
11        airborne      1
12         ability      1
13        relieved      1
14        provides      1
15         defense      1
16            navy      1
17       president      1
18              of      2
19        squadron      1
20            been      1
21       commander      1
22  reconnaissance      1
23             and      1
True
True
True
True
False
False
False
False
False
False
False
False
False
False
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
False
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
True
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
False
True
False
True
False
False
True
